url,action,target,gsc_clicks,gsc_impressions,reason
"https://www.jbklutse.com/ada-health-launches-first-ai-health-guidance-app-in-swahili/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/af-radio-app/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/afdb-boosts-ghanaian-agritech-startup-farmerline/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/africa-magic-viewers-choice-awards/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/african-digital-summit-and-expo-2019-is-set-to-happen-on-august-31/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/african-mobility-startup-treepz-launches-in-ghana/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/african-tech-safe-hands-kenya-alliance/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/agrocenta-to-launch-agropay-which-aims-at-digitizing-rural-financial-inclusion-for-farmers/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/ai-beats-human-breast-cancer-diagnosis/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/ai-research-supercluster/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/airteltigo-ghana-free-calls/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/airteltigo-mentors-40-aspiring-entrepreneurs-on-how-technology-can-boost-their-businesses/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/alarming-signs-that-you-need-to-take-a-break-from-work/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/all-fire-service-stations-and-their-contact-numbers-in-ghana-2022/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/all-you-should-know-about-5g-phones-and-your-health/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/andrew-fassnidge-the-race-to-dethrone-cash-is-on/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/android-app-testing/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/another-huawei-nova-device-is-here-huawei-nova-8i/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
"https://www.jbklutse.com/appdate-first-call-gh/",410_gone,,0,0,"not in GSC top 1000 - zero/negligible traffic, drop link equity preservation"
